,Close
2020/1/2,4152.2408
2020/1/3,4144.9649
2020/1/6,4129.2954
2020/1/7,4160.2274
2020/1/8,4112.3172
2020/1/9,4164.3697
2020/1/10,4163.1849
2020/1/13,4203.9883
2020/1/14,4189.8862
2020/1/15,4166.7344
2020/1/16,4149.0434
2020/1/17,4154.853
2020/1/20,4185.8304
2020/1/21,4114.3085
2020/1/22,4131.9311
2020/1/23,4003.9013
2020/2/3,3688.3578
2020/2/4,3785.6376
2020/2/5,3828.5272
2020/2/6,3899.7751
2020/2/7,3899.8693
2020/2/10,3916.0052
2020/2/11,3952.4643
2020/2/12,3984.4325
2020/2/13,3959.9188
2020/2/14,3987.7342
2020/2/17,4077.4241
2020/2/18,4057.5108
2020/2/19,4051.3107
2020/2/20,4144.6561
2020/2/21,4149.4903
2020/2/24,4132.8388
2020/2/25,4123.8543
2020/2/26,4073.0152
2020/2/27,4084.8759
2020/2/28,3940.0488
2020/3/2,4069.6662
2020/3/3,4091.3615
2020/3/4,4115.0524
2020/3/5,4206.7251
2020/3/6,4138.5072
2020/3/9,3997.1325
2020/3/10,4082.7315
2020/3/11,4028.4289
2020/3/12,3950.9111
2020/3/13,3895.3128
2020/3/16,3727.8398
2020/3/17,3709.6822
2020/3/18,3636.2565
2020/3/19,3589.0926
2020/3/20,3653.2239
2020/3/23,3530.3058
2020/3/24,3625.1146
2020/3/25,3722.5181
2020/3/26,3698.0472
2020/3/27,3710.0605
2020/3/30,3674.1108
2020/3/31,3686.1551
2020/4/1,3675.0758
2020/4/2,3734.5306
2020/4/3,3713.2183
2020/4/7,3798.0214
2020/4/8,3780.3445
2020/4/9,3792.8105
2020/4/10,3769.1782
2020/4/13,3753.2566
2020/4/14,3825.6991
2020/4/15,3797.3623
2020/4/16,3802.3806
2020/4/17,3839.4871
2020/4/20,3853.4551
2020/4/21,3808.0474
2020/4/22,3839.3834
2020/4/23,3829.7525
2020/4/24,3796.9721
2020/4/27,3822.769
2020/4/28,3849.1465
2020/4/29,3867.032
2020/4/30,3912.5772
2020/5/6,3936.2539
2020/5/7,3924.8946
2020/5/8,3963.6217
2020/5/11,3960.1803
2020/5/12,3960.2378
2020/5/13,3968.2529
2020/5/14,3925.2177
2020/5/15,3912.8159
2020/5/18,3922.9117
2020/5/19,3956.2495
2020/5/20,3935.222
2020/5/21,3913.7949
2020/5/22,3824.064
2020/5/25,3829.3245
2020/5/26,3872.7701
2020/5/27,3845.6135
2020/5/28,3856.6324
2020/5/29,3867.0232
2020/6/1,3971.3402
2020/6/2,3983.5677
2020/6/3,3983.6477
2020/6/4,3982.1851
2020/6/5,4001.2509
2020/6/8,4021.9549
2020/6/9,4047.0293
2020/6/10,4039.7051
2020/6/11,3995.8846
2020/6/12,4003.0829
2020/6/15,3954.9883
2020/6/16,4014.5702
2020/6/17,4017.5941
2020/6/18,4044.3842
2020/6/19,4098.7095
2020/6/22,4102.0459
2020/6/23,4121.7944
2020/6/24,4138.9895
2020/6/29,4109.7164
2020/6/30,4163.9637
2020/7/1,4247.7835
2020/7/2,4335.8445
2020/7/3,4419.5955
2020/7/6,4670.0949
2020/7/7,4698.1264
2020/7/8,4774.0042
2020/7/9,4840.7712
2020/7/10,4753.1333
2020/7/13,4852.9612
2020/7/14,4806.6902
2020/7/15,4744.4687
2020/7/16,4516.2532
2020/7/17,4544.7007
2020/7/20,4680.3046
2020/7/21,4691.0425
2020/7/22,4714.4454
2020/7/23,4712.4357
2020/7/24,4505.5906
2020/7/27,4528.45
2020/7/28,4568.2576
2020/7/29,4679.008
2020/7/30,4656.1506
2020/7/31,4695.0462
2020/8/3,4771.3108
2020/8/4,4775.8024
2020/8/5,4777.1089
2020/8/6,4762.7642
2020/8/7,4707.9262
2020/8/10,4724.8697
2020/8/11,4681.7837
2020/8/12,4647.6446
2020/8/13,4635.7126
2020/8/14,4704.6288
2020/8/17,4815.2261
2020/8/18,4812.7564
2020/8/19,4740.6784
2020/8/20,4679.1544
2020/8/21,4718.8431
2020/8/24,4755.8491
2020/8/25,4761.9507
2020/8/26,4706.1302
2020/8/27,4731.3451
2020/8/28,4844.2652
2020/8/31,4816.2153
2020/9/1,4842.1223
2020/9/2,4843.887
2020/9/3,4817.0952
2020/9/4,4770.219
2020/9/7,4669.3677
2020/9/8,4694.3894
2020/9/9,4584.5887
2020/9/10,4581.9775
2020/9/11,4627.2826
2020/9/14,4651.0507
2020/9/15,4688.4826
2020/9/16,4657.3584
2020/9/17,4632.7142
2020/9/18,4737.0887
2020/9/21,4691.4281
2020/9/22,4635.7608
2020/9/23,4652.3273
2020/9/24,4563.0657
2020/9/25,4570.0216
2020/9/28,4581.9085
2020/9/29,4591.7993
2020/9/30,4587.3953
2020/10/9,4681.1412
2020/10/12,4823.1578
2020/10/13,4839.201
2020/10/14,4807.1021
2020/10/15,4798.7361
2020/10/16,4791.676
2020/10/19,4755.4879
2020/10/20,4793.4672
2020/10/21,4792.8284
2020/10/22,4777.9845
2020/10/23,4718.4881
2020/10/26,4691.2359
2020/10/27,4699.2792
2020/10/28,4737.2718
2020/10/29,4772.9198
2020/10/30,4695.3338
2020/11/2,4720.8313
2020/11/3,4777.5608
2020/11/4,4813.6564
2020/11/5,4885.1118
2020/11/6,4885.7178
2020/11/9,4981.3497
2020/11/10,4953.8756
